Runs	oilvis	dtmax	kvkh	mflt1	mflt2	mflt3	mflt4	oilexp	owc	sorw	swc	watexp
run1	10.96466636657710000000	365.00000000000000000000	0.10000000149011600000	0.56483697891235300000	0.79363340139389000000	0.15229998528957400000	0.18305227160453800000	3.38315320014953000000	-1061.78710937500000000000	0.20434036850929300000	0.15446844696998600000	2.15918445587158000000
run2	6.70553684234619000000	182.50000000000000000000	0.10000000149011600000	0.25084474682807900000	0.10724305361509300000	0.88316142559051500000	0.20792503654956800000	3.03043770790100000000	-1063.73718261718000000000	0.20098541676998100000	0.28601467609405500000	2.14075994491577000000
run3	10.11355495452880000000	91.25000000000000000000	0.00100000004749745000	0.46397116780281100000	0.09614211320877080000	0.41707381606102000000	0.16767646372318300000	3.19607996940612000000	-1062.36157226562000000000	0.25934675335884100000	0.17684797942638400000	1.98420369625091000000
run4	6.06302452087402000000	91.25000000000000000000	0.00999999977648258000	0.73626136779785100000	0.97049576044082600000	0.81564718484878500000	0.16108438372612000000	2.76070141792297000000	-1070.54028320312000000000	0.16464388370513900000	0.21659043431282000000	2.08284711837768000000
run5	10.99057006835930000000	91.25000000000000000000	0.00999999977648258000	0.04584794119000430000	0.88298690319061200000	0.40704879164695700000	0.47570013999939000000	2.92881250381469000000	-1062.28015136718000000000	0.25721076130867000000	0.15878459811210600000	1.97040462493896000000
run6	6.93184709548950000000	182.50000000000000000000	0.00100000004749745000	0.40145432949066200000	0.87413275241851800000	0.44055256247520400000	0.36895972490310700000	3.06566858291625000000	-1066.70898437500000000000	0.23498979210853600000	0.12304253131151200000	2.02987766265869000000
run7	8.89120388031005000000	182.50000000000000000000	0.10000000149011600000	0.51047509908676100000	0.31292721629142800000	0.32651525735855100000	0.98036187887191700000	3.06185793876647000000	-1072.57653808593000000000	0.16161371767520900000	0.19486866891384100000	2.01942014694213000000
run8	11.62061977386470000000	91.25000000000000000000	0.00100000004749745000	0.44908499717712400000	0.27390635013580300000	0.19908553361892700000	0.83603656291961600000	2.95157074928283000000	-1062.18371582031000000000	0.14793246984481800000	0.17029465734958600000	2.10806798934936000000
run9	10.45591640472410000000	365.00000000000000000000	0.10000000149011600000	0.78054237365722600000	0.28575879335403400000	0.54263424873352000000	0.27461516857147200000	2.88710188865661000000	-1067.89477539062000000000	0.21898964047431900000	0.13381063938140900000	1.91977620124816000000
run10	10.39016056060790000000	91.25000000000000000000	0.10000000149011600000	0.00039609053055755800	0.87136965990066500000	0.15281218290329000000	0.04387658834457400000	3.33466076850891000000	-1062.16870117187000000000	0.12668076157569900000	0.25177723169326800000	1.94441914558410000000
run11	11.14785861968990000000	182.50000000000000000000	0.00100000004749745000	0.46671643853187600000	0.71789520978927600000	0.98099315166473300000	0.31133985519409200000	3.04722785949707000000	-1075.75439453125000000000	0.15442003309726700000	0.17194494605064400000	2.01922082901000000000
run12	12.57357025146480000000	91.25000000000000000000	0.10000000149011600000	0.62982410192489600000	0.35602518916130100000	0.84967732429504300000	0.01736156269907950000	2.97869324684143000000	-1070.01501464843000000000	0.24327477812767000000	0.23287951946258500000	1.97388482093811000000
run13	4.32788038253784000000	182.50000000000000000000	0.00999999977648258000	0.81556522846221900000	0.42303425073623700000	0.21810799837112400000	0.44382548332214400000	3.26926589012145000000	-1066.75610351562000000000	0.25901165604591400000	0.19629946351051300000	2.01169776916503000000
run14	8.56328201293945000000	365.00000000000000000000	0.10000000149011600000	0.81889843940734800000	0.90899121761322000000	0.99556952714920000000	0.58874183893203700000	3.21751737594604000000	-1065.33178710937000000000	0.20254741609096500000	0.17015852034091900000	1.86109769344329000000
run15	6.96471452713012000000	91.25000000000000000000	0.00999999977648258000	0.51850467920303300000	0.45049077272415200000	0.58936232328414900000	0.62476402521133400000	3.41497945785522000000	-1073.21960449218000000000	0.19562566280365000000	0.20857906341552700000	1.83387720584869000000
run16	6.65463066101074000000	182.50000000000000000000	0.00999999977648258000	0.35310724377632100000	0.73055845499038600000	0.03061919845640660000	0.76829916238784700000	2.84932041168212000000	-1067.57556152343000000000	0.22784854471683500000	0.24171029031276700000	1.90293753147125000000
run17	11.77350711822500000000	182.50000000000000000000	0.00100000004749745000	0.80796629190444900000	0.83882063627243000000	0.76033508777618400000	0.97642391920089700000	3.33604764938354000000	-1069.49890136718000000000	0.23556706309318500000	0.32831647992134100000	2.08025074005126000000
run18	12.26995658874510000000	182.50000000000000000000	0.00999999977648258000	0.91998708248138400000	0.80485820770263600000	0.00366010470315814000	0.23885358870029400000	2.79907846450805000000	-1061.59338378906000000000	0.22729359567165400000	0.24501936137676200000	2.01130127906799000000
run19	10.01812171936030000000	91.25000000000000000000	0.10000000149011600000	0.04161346331238750000	0.63375133275985700000	0.96338319778442300000	0.70630031824111900000	3.08012390136718000000	-1075.52819824218000000000	0.26835301518440200000	0.17642432451248200000	2.06967902183532000000
run20	10.84300041198730000000	365.00000000000000000000	0.00100000004749745000	0.17922782897949200000	0.52722251415252600000	0.73320126533508300000	0.58095562458038300000	2.84077620506286000000	-1069.17492675781000000000	0.18246580660343200000	0.22553461790084800000	1.92671132087707000000
run21	12.68553543090820000000	365.00000000000000000000	0.10000000149011600000	0.37720620632171600000	0.56779694557189900000	0.11345497518777800000	0.68740886449813800000	3.46421098709106000000	-1068.41394042968000000000	0.17056061327457400000	0.15986064076423600000	2.11189079284667000000
run22	11.49658012390130000000	182.50000000000000000000	0.10000000149011600000	0.59939217567443800000	0.56331032514572100000	0.48959514498710600000	0.65597409009933400000	2.53859972953796000000	-1075.56262207031000000000	0.20801377296447800000	0.23188084363937400000	1.81508314609527000000
run23	13.61355686187740000000	182.50000000000000000000	0.00100000004749745000	0.29035934805870100000	0.88181424140930100000	0.87008959054946800000	0.81999313831329300000	2.73879837989807000000	-1061.18139648437000000000	0.19327303767204300000	0.25407505035400400000	2.11724829673767000000
run24	8.85169315338134000000	365.00000000000000000000	0.00100000004749745000	0.02472849749028680000	0.26631560921669000000	0.91609179973602200000	0.76996606588363600000	2.85767936706542000000	-1065.24108886718000000000	0.19619607925415000000	0.17288190126419100000	2.01505780220031000000
run25	10.93419837951660000000	91.25000000000000000000	0.00999999977648258000	0.40671876072883600000	0.00523172365501523000	0.38361036777496300000	0.02526728622615340000	3.16478967666625000000	-1069.97058105468000000000	0.17699222266674000000	0.22174988687038400000	2.14264225959777000000
run26	9.46173667907714000000	365.00000000000000000000	0.10000000149011600000	0.72640055418014500000	0.24577049911022200000	0.56996273994445800000	0.41233912110328700000	2.42672514915466000000	-1062.49902343750000000000	0.24135565757751500000	0.16388159990310700000	2.09291863441467000000
run27	7.89772939682006000000	182.50000000000000000000	0.10000000149011600000	0.53443396091461100000	0.15399773418903400000	0.76701080799102700000	0.45309817790985100000	3.05885529518127000000	-1069.88830566406000000000	0.12405290454626100000	0.20884652435779600000	1.92609488964080000000
run28	9.37901401519775000000	365.00000000000000000000	0.00100000004749745000	0.97439604997634800000	0.72454392910003600000	0.85243171453475900000	0.29777058959007300000	3.20701766014099000000	-1063.21508789062000000000	0.22165939211845400000	0.17797793447971300000	1.90884637832641000000
run29	11.45096206665030000000	365.00000000000000000000	0.00100000004749745000	0.66745132207870400000	0.52998363971710200000	0.17862775921821600000	0.71121191978454500000	3.20319938659667000000	-1068.94213867187000000000	0.21403923630714400000	0.14673362672328900000	1.95752131938934000000
run30	10.82200145721430000000	182.50000000000000000000	0.00100000004749745000	0.26937618851661700000	0.43440446257591200000	0.42016807198524500000	0.74534696340560900000	2.99484515190124000000	-1068.13769531250000000000	0.14144957065582300000	0.12246982753276800000	1.89923906326293000000
run31	7.91775655746459000000	365.00000000000000000000	0.00100000004749745000	0.63522309064865100000	0.05758857354521750000	0.03296378254890440000	0.91948211193084700000	2.77578854560852000000	-1062.05456542968000000000	0.14754785597324400000	0.22615987062454200000	2.03474807739257000000
run32	11.84918117523190000000	365.00000000000000000000	0.10000000149011600000	0.40275049209594700000	0.56072598695755000000	0.43197590112686200000	0.35814172029495200000	3.09903216361999000000	-1063.88073730468000000000	0.16741661727428400000	0.31290572881698600000	1.78840923309326000000
run33	6.47518825531005000000	365.00000000000000000000	0.00999999977648258000	0.42760261893272400000	0.59411287307739200000	0.64957177639007500000	0.97503691911697300000	3.40535473823547000000	-1063.92065429687000000000	0.21334475278854400000	0.22019354999065400000	1.88415277004241000000
run34	10.55992031097410000000	182.50000000000000000000	0.00999999977648258000	0.11985038965940500000	0.16093485057354000000	0.04503789544105530000	0.66525822877883900000	3.01084733009338000000	-1062.00671386718000000000	0.24548438191413900000	0.24787847697734800000	1.97785437107086000000
