Depth,APIcounts,Th_ppm,U_ppm,K_percent
10648.22,91.382,4.99,0.89,0.732
10648.72,87.238,3.986,1.558,0.692
10649.22,91.776,3.484,1.721,0.779
10649.72,101.304,2.578,2.394,0.762
10650.22,107.073,2.677,2.435,0.732
10650.72,93.124,2.484,1.847,0.976
10651.22,84.416,3.194,1.251,0.905
10651.72,73.004,6.397,0.35,0.543
10652.22,62.522,6.798,0.309,0.422
10652.71,57.456,4.219,0.621,0.416
10653.21,62.689,2.14,0.651,0.456
10653.71,66.264,2.525,0.972,0.513
10654.21,68.944,4.109,0.739,0.599
10654.71,67.035,4.011,0.757,0.594
10655.21,63.242,4.024,0.514,0.458
10655.71,60.278,3.611,1.306,0.365
10656.21,66.147,4.6,1.613,0.357
10656.71,70.593,5.227,0.517,0.556
10657.21,62.045,3.144,0.318,0.466
10657.7,47.443,2.942,0.443,0.309
10658.2,47.175,3.535,0.584,0.242
10658.7,55.706,3.734,0.707,0.195
10659.2,76.554,2.956,0.408,0.203
10659.7,96.301,1.929,0.767,0.192
